normalized_title,rejected_candidate,source,reason
athletics,Track and field,wikimedia,matched a generic sport concept instead of a specific software title
die unglaublichen,The Incredibles (franchise),wikimedia,matched the franchise page instead of a specific game
ocean diver,Open Water Diver,wikimedia,matched a diving certification concept instead of a specific software title
online spiel,Online game,wikimedia,matched a generic concept page instead of a specific title
onlinespiel,Online game,wikimedia,matched a generic concept page instead of a specific title
world challenge,Hero World Challenge,wikimedia,matched a golf tournament instead of a software title
xfire,Xfire (disambiguation),wikimedia,matched a disambiguation page
absolute blue,Q122386684,wikimedia,matched a raw Wikidata placeholder label with a release-year conflict
age of empires 3 v 1,Age of Empires III: Definitive Edition,wikimedia,matched the 2020 remaster instead of the 2005 CBS disc title
age of empires 3 v 1 01a,Age of Empires III: Definitive Edition,wikimedia,matched the 2020 remaster instead of the 2005 CBS disc title
age of empires 3 v 1 1,Age of Empires III: Definitive Edition,wikimedia,matched the 2020 remaster instead of the 2005 CBS disc title
air taxi,Q115799507,wikimedia,matched a raw Wikidata placeholder label rather than a trustworthy canonical title
astro man,Q115104177,wikimedia,matched a raw Wikidata placeholder label rather than a trustworthy canonical title
atoll,Q135022434,wikimedia,matched a raw Wikidata placeholder label with a release-year conflict
genius move,Q135046415,wikimedia,matched a raw Wikidata placeholder label with a release-year conflict
jardinains,Q122373947,wikimedia,matched a raw Wikidata placeholder label with a release-year conflict
startzeit,Q39329711,wikimedia,matched a raw Wikidata placeholder label rather than a trustworthy canonical title
steel saviour,Q114946949,wikimedia,matched a raw Wikidata placeholder label with a release-year conflict
switchfire,Q132735999,wikimedia,matched a raw Wikidata placeholder label rather than a trustworthy canonical title
the show,Q110817152,wikimedia,matched a raw Wikidata placeholder label rather than a trustworthy canonical title
